Duration,Current_Status,Overall_Satisfaction,Work_Life_Balance,Skill_Development,Salary_and_Benefits,Job_Security,Company_Culture,Career_Growth,Work_Satisfaction,Work_Life_Balance_Likes,Career_Growth_Likes,Work_Culture_Likes,Job_Security_Likes,Innov_and_Tech_Likes,Work_Life_Balance_Dislikes,Career_Growth_Dislikes,Salary_Growth_Dislikes,Work_Culture_Dislikes,Job_Security_Dislikes,Travel_City,Travel_Country,Travel_Abroad,Timing_Nature,Working_Mon_Fri,Working_Mon_Sat_Alt,Working_Mon_Sat,Rotational_Shift,Free_transport,Child_care,Gymnasium,Cafeteria,Work_from_home,Free_food,Team_outings,Education_assistance,Soft_skill_training,Health_insurance,Job_training,Company_Code
6,0,3,3,3,4,2,4,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,4,4,4,4,4,4,4,4,0,0,0,0,0.8377,-0.128,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
24,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16.8,1,4,3,4,4,5,5,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0,4,5,3,4,3,4,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1
12,0,4,5,4,3,2,3,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1
2,1,3,3,4,4,5,4,5,4,0,0,0,0.8,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1
25.2,1,5,5,5,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
5,0,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16.8,1,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1,4,2,4,4,5,4,4,3,0,0,0.620500282,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1
9,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
24,0,5,4,5,4,5,4,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,4,4,3,4,4,4,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
24,1,4,4,4,4,5,5,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,5,4,5,2,3,3,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9,0,4,3,4,3,4,3,3,3,0,0,0,0,0,-0.4767,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
